package	disposition	owner_requirement	consumer	verification	result_artifact
graph-store-port	v029-gap	The graph store is a regenerable materialization and not the system of record	skills/foreman/graph_store/ contract suite currently fails	PYTHONPATH=skills/foreman python3 -m graph_store.contract_suite files_only	not_evaluated
knowledge-plane-refresh	v029-gap	The knowledge graph refreshes automatically with an AST-only merge cadence	Missing skills/foreman/scripts/graph-refresh.sh	test ! -e skills/foreman/scripts/graph-refresh.sh	not_evaluated
node-typescript-runtime	v029-gap	All new executable code targets Node.js 24 and is TypeScript	openspec/changes/node-typescript-runtime/; packages/; skills/foreman/runtime/	openspec validate node-typescript-runtime --strict	not_evaluated
lane-ownership-and-reaping	split	Lane liveness uses process state and CPU instead of path existence	skills/foreman/scripts/lib/liveness.sh; tools/lanectl.sh; tools/reap-stale-lanes.sh	bash tests/lane-ownership-harness.sh	openspec/changes/lane-ownership-and-reaping/V030-RESIDUAL.md
lock-primitive-hardening	split	Mutual exclusion is regression-tested by occupancy	skills/foreman/scripts/lib/lock.sh	bats tests/lock.bats	openspec/changes/lock-primitive-hardening/V030-RESIDUAL.md
positive-control-expansion	v030-deferred	Probe and verdict-predicate controls remain explicitly outside v0.2.9 gate scope	openspec/changes/positive-control-expansion/	openspec validate positive-control-expansion --strict	openspec/changes/positive-control-expansion/
readme-refresh	v029-gap	The README has twelve ordered sections and release claims bind to evidence	README structure exists but claim ledger and docs-gate integration are missing	bats tests/readme-structure.bats	not_evaluated
regression-harness-tiers	v029-implemented	Tier 0 and Tier 1 are gating and Tier 2 is on-demand research	tests/selftest-test-infrastructure.sh; tests/tier1-replay.sh	bash tests/selftest-test-infrastructure.sh; bats tests/tier1-replay.bats	docs/evidence/regression-harness-tier0-deltas.tsv
release-metrics	v029-implemented	Each published metric has a documented misreading and companion number	skills/foreman/scripts/lib/metrics-lint.sh; skills/foreman/references/release-metrics.md	bats tests/release-metrics.bats	skills/foreman/references/release-metrics.md
round-ownership-default	v029-gap	Round-owned dispatch remains round-owned across automatic resume	Dispatch enforcement exists but lane-supervise.sh resumes in plain mode	bats tests/round-ownership.bats	not_evaluated
spec-triage-gate	parked	All Grok entrypoints refuse an under-determined specification	The entrypoints expose no common specification path	test -f openspec/changes/spec-triage-gate/PARKED.md	openspec/changes/spec-triage-gate/PARKED.md
test-infrastructure-hardening	v029-gap	Every kind gate check has a registered observed positive control	The inventory scanner and live registry are not yet integrated	bats tests/check-inventory.bats	not_evaluated
three-outcome-verdicts	v029-implemented	Every gate input binds to the diff and evaluated tree	skills/foreman/scripts/gate-eval.sh; skills/foreman/scripts/adapters/verdict.schema.json	bats tests/audit-verdict.bats	tests/audit-verdict.bats
v029-release-convergence	v029-gap	Every active package has executable disposition evidence	openspec/changes/v029-release-convergence/evidence/package-matrix.tsv	bash skills/foreman/scripts/package-matrix-check.sh openspec/changes/v029-release-convergence/evidence/package-matrix.tsv	not_evaluated
vendor-adapter-contract	v029-implemented	Each vendor invocation is built by a standalone per-vendor adapter	skills/foreman/scripts/adapters/	bats tests/adapters.bats	tests/adapters.bats
vendor-concurrency-and-quota	split	A new vendor concurrency cap stays at one until a higher cap has GREEN evidence	skills/foreman/scripts/lane-queue.sh; skills/foreman/scripts/adapters/	bats tests/vendor-concurrency-test.bats	openspec/changes/vendor-concurrency-and-quota/V030-RESIDUAL.md
vendor-preflight	v029-gap	Vendor readiness reports discoverable authenticated and current as separate facts	Missing env/vendor-preflight.sh	bats tests/vendor-preflight.bats	not_evaluated
work-dag-projection	v030-deferred	The work plane is a deterministic event-log projection	openspec/changes/work-dag-projection/	test -f openspec/changes/work-dag-projection/specs/work-plane/spec.md	openspec/changes/work-dag-projection/
workload-fit-accounting	split	The fit report reads the fit ledger and emits discovery-versus-offload accounting	skills/foreman/scripts/foreman-fit-report.sh; skills/foreman/scripts/foreman-cleanup.sh	bats tests/fit-report.bats	openspec/changes/workload-fit-accounting/V030-RESIDUAL.md
wsl-launcher-shipped	v029-implemented	Setup builds the POSIX launcher when it is absent	skills/foreman/scripts/foreman-setup.sh; env/tool-check.sh	bats tests/wsl-launcher-shipped.bats	tests/wsl-launcher-shipped.bats
wsl-preflight	v029-gap	A WSL preflight runs before event writes and rejects an unsafe FOREMAN_HOME	Missing skills/foreman/scripts/wsl-preflight.sh	bats tests/wsl-preflight.bats	not_evaluated
wsl-tool-path-persistence	v029-gap	Vendor CLIs resolve from a persisted WSL-native path without shell startup files	lane-run.sh reads the environment file but Setup does not generate it	bats tests/vendor-isolation.bats	not_evaluated
